こんち(は|わ)$	こんにちは|あっ！会えた！|イェイ|楽しく話そうね！|まただね！
おはよう|おはよー|オハヨウ|おは	おはよ！|まだ眠い…|さっき寝たばかりだよ
こんばん(は|わ)	こんばんわ|もう夜ですね|いま何時？
^(お|うい)す$	あっ！会えた！|イェイ|楽しく話そうね！|まただね！
^やあ[、。！]*$	やっほー
バイバイ|ばいばい	ばいばい|バイバーイ|ごきげんよう
^じゃあ?ね?$|またね	またねー|じゃあまたね|また遊んでね

^どれ[？?]$	アレはアレ|いま手に持ってるものだよ|それだよー
^[し知]ら[なね]	やばーーい！|知らなきゃだめじゃん|知らないの？

-2##おまえ|あんた|お前|てめー	%match%じゃないよ！|言葉遣い気をつけて
-5##バカ|ばか|馬鹿	そんなふうに言わないでよ！|%match%じゃないもん！|%match%って言うやつが%match%なんだよ！|もう！
2##ごめん|すまん|(許|ゆる)し	じゃあお菓子買ってー|もう～|知らないよーだ！
5##かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	%match%ってすぐ言うんでしょ|私以外にも言うんでしょ|嬉しい...|...もう|%match%かぁ//
-5##ブス|ぶす	-10##まじ怒るから！|-5##しばいたろか？|-5##だれが%match%なのよ！

何時	眠くなった？|もう寝るの？|まだいいじゃん|もう寝なきゃ|そーねだいたいね！
甘い|あまい	2##あまーーい！|3##甘いの好きだよ|甘口
チョコ	ビターなのがいい|よこせチョコレート！|甘いのは苦手かな？|カバンに入れてたら溶けちゃった|ストレスにもいいよね
パンケーキ	パンケーキいいよね！|しっとり感がス・テ・キ！
グミ	すっぱーいのが好き！|どのグミが好き？
マシュマロ	そのままでもいいけど焼くのがいいな|パンに塗りたくるのもいいよね
あんこ|アンコ|餡子	アンコなら中村屋のあんぱんじゃ！|こしあん派|あんまんもいいよね
餃子|ぎょうざ|キョーザ	食べたーい！|ぎぎぎ、ぎょうざ…|餃子のことを考えると夜も眠れません|宇都宮行ってみたい
ラーメン|らーめん	ラーメン大好き♪|ラーメンといえばこーだいだよね|あたしはしょうゆ派かな
自転車|チャリ|チャリンコ	最近乗ってないなぁ|雨降っても乗ってるんだ！|電動アシストほしいな～
春	お花見したいね～|春は眠くなるよね|春はピクニック行きたい！
夏	海！海！海！|プール！ プール！！|アイスちょーだい♪|花火見に行こ！
秋	読書するぞー！|ブンガクの季節なのだ|温泉もいいよね|サンマ焼こうよ！
冬	お鍋大好き！|かわいいコートが欲しい！|スノボできる？|温泉へGo！

